Category,Resume
HR,"TECHNICAL SKILLS Ã¢Â€Â¢ Typewriting Ã¢Â€Â¢ TORA Ã¢Â€Â¢ SPSSEducation Details 
January 2017 MBA  Chidambaram, Tamil Nadu SNS College of Engineering
January 2014 HSC   at SAV Higher Secondary School
 MBA   SNS College of Engineering
 SSLC Finance  at Kamaraj Matriculation School
HR 


Skill Details 
Human resource, Finance- Exprience - Less than 1 year monthsCompany Details 
company - 
description - "
HR,"I.T. Skills Ã¢Â€Â¢ Windows XP, Ms Office (Word, Excel: Look-ups; Pivot table; other basic functions ; Power Point) Ã¢Â€Â¢ Saral Payment Package- payroll software Ã¢Â€Â¢ Internet ApplicationsEducation Details 
January 2006 Bachelor in Hospitality Management International Hospitality Management  Queen Margaret University Edinburg
January 2006 diploma Hotel Management  International Institute of Hotel Management
HR 


Skill Details 
Hr Management- Exprience - Less than 1 year monthsCompany Details 
company - Atri Developers
description - Ã¢Â€Â¢ HR Payroll Statutory Compliance Performance Management
company - 
description - Employee Relations and Administration: Creating industry specific Policies, Procedure, Forms, Formats, Letters, Checklists etc

Payroll Management: Salary restructuring to process payroll of 600 employees.
Ã¢Â€Â¢ Validation of all input (Attendance, Leaves, and Salaries) before starting salary process.
Ã¢Â€Â¢ Processing accurate & error free salary of employees.
Ã¢Â€Â¢ Responsible for compensation and benefits administration.
Ã¢Â€Â¢ Coordinate with Accounts team for salary processing.
Ã¢Â€Â¢ Attendance & Leave record management
Ã¢Â€Â¢ Assuring prompt and satisfactory resolution of payroll related queries of all employees.

Statutory Compliance Management:
Ã¢Â€Â¢  Manage various statutory compliance requirements (PF, ESIC, PT, Gratuity, TDS etc calculations, deduction, payment and return filing.
Ã¢Â€Â¢ Generate statutory reports like Form 16, Form 24Q. Conducting session with employees on Statutory Policies and procedure, compliance related topics.
Ã¢Â€Â¢ Shops and Commercial Establishments Act (S&E)
Ã¢Â€Â¢ The Payment of Gratuity Act 1972
Recruitment and Selection: Handling recruitment like job posting in naukri portal and coordination. Create annual manpower plan and budget. Screen and schedule preliminary interview. Arrange for employee orientation. Handling joining formalities and salary account opening formalities.

Performance Management: End to end facilitation of PMS starting from creating Job Description & Appraisal Forms to Disbursement of Letters. KRA setting, Mid-year reviews, Annual reviews, handling all appraisal activities (360 Degree)

Training and Development: Conduct training need analysis and arrange various training session.

Employee engagement and  Employee Welfare: Creation and deployment  of Sales  Rewards and Recognition Schemes, Periodic Interactive sessions like Monthly Birthday Celebration, Annual Day, Diwali Dhamaka, Offsite etc.
Working on Saral Payment Package- payroll software as well as on excel
Assisting MD in HR works, offering suggestions and answering employee queries on payroll compliance related issues, other benefits (insurance, medical, reimbursement, ), full & final settlement of resigned employees."
HR,"Education Details 
 BA   mumbai University
HR 


Skill Details 
Hr Operations- Exprience - Less than 1 year monthsCompany Details 
company - Mumbai Monorail
description - "
HR,"Education Details 
June 2012 to May 2015 B.A Economics Chennai, Tamil Nadu Sdnbvc
Hr 


Skill Details 
Company Details 
company - Anything IT Solution
description - Hr"
HR,"Education Details 
June 2012 to May 2015 B.A Economics Chennai, Tamil Nadu Sdnbvc
Hr 


Skill Details 
Company Details 
company - Anything IT Solution
description - Hr"
HR,"Education Details 
 BBA   lovely professional university
HR 


Skill Details 
Communication- Exprience - 6 monthsCompany Details 
company - 
description - "
HR,"Education Details 
 MBA   ACN College of engineering & mgt
HR 


Skill Details 
Company Details 
company - HR Assistant
description - "
HR,"KEY SKILLS: Ã¢Â€Â¢ Computerized accounting with tally Ã¢Â€Â¢ Sincere & hard working Ã¢Â€Â¢ Management accounting & income tax Ã¢Â€Â¢ Good communication & leadership Ã¢Â€Â¢ Two and four wheeler driving license Ã¢Â€Â¢ Internet & Ecommerce management COMPUTER SKILLS: Ã¢Â€Â¢ C Language Ã¢Â€Â¢ Web programing Ã¢Â€Â¢ Tally Ã¢Â€Â¢ Dbms Education Details 
June 2017 to June 2019 Mba Finance/hr India Mlrit
June 2014 to June 2017 Bcom Computer Hyderabad, Telangana Osmania university
June 2012 to April 2014 Inter MEC India Srimedhav
Hr 

Nani
Skill Details 
accounting- Exprience - 6 months
DATABASE MANAGEMENT SYSTEM- Exprience - 6 months
Dbms- Exprience - 6 months
Management accounting- Exprience - 6 months
Ecommerce- Exprience - 6 monthsCompany Details 
company - Valuelabs
description - They will give the RRF form the required DLT then the hand over to RLT then scrum master will take the form from the RLT then scrum master will give the forms to trainee which we can work on the requirement till the candidate receive the offer from the company"
HR,"Training in Special Education (Certificate Course) Education Details 
July 2016 to October 2018 M.Sc Psychology with specialization in Organizational Behaviour Malappuram, Kerala Calicut University
July 2013 to March 2016 BSc Psychology Thrissur Prajyoti Niketan College
HR 


Skill Details 
Company Details 
company - 
description - I have done a 30 days internship in the HR department of Foster Hot Breads, KINFRA, Malappuram, Kerala and I have also done a 60 days internship at Santhwana Institute of Counselling and Psychotherapy, Cochin, Kerala as Counsellor"
HR,"Computer Knowledge: Ã¢Â€Â¢ Proficient in basic use of MS office Ã¢Â€Â¢ Microsoft Dynamics AX software Ã¢Â€Â¢ SAIBA softwareEducation Details 
 MBA   Distance education Bharathiar University
 BE   PA College of Engineering and Technology
 HSC   R.V.G. Hr Sec School
 SSC   G.Hr.Sec School
HR 

Admin in Bharat
Skill Details 
DYNAMICS- Exprience - 6 months
DYNAMICS AX- Exprience - 6 months
MICROSOFT DYNAMICS- Exprience - 6 months
MICROSOFT DYNAMICS AX- Exprience - 6 months
MS OFFICE- Exprience - 6 monthsCompany Details 
company - Sri Ramesh Gaarment
description - Tirupur

Administration as well as clients service
Here corporate companies only insured so that knowledge gathered about
Garments, spinning mills

Ã¢Â€Â¢ FEB 2018 to Still: Sri Ramesh Gaarment Tirupur.

HR Activities
Attendance maintenance, Time cards maintenance,
Staffs and labors individual records maintenance

Project:
Ã¢Â€Â¢ Advanced automobile collision avoidance and blackbox in CAR"
